Route,URL,Avg Stars,Rating,Pitches,Length,Area Latitude,Area Longitude,PG13,R,State,Region,Location,Crag,Wall,Trad,Alpine,TR,Aid,Boulder,Mixed,numVotes,numViews,Year
Hard Blues,https://www.mountainproject.com/route/117931858/hard-blues,3.5,5.14a,1,70.0,40.45152,-111.67645,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Billboard Trail,False,False,False,False,False,False,"Avg: 3.5 from 4
    votes","Page Views: 1,639 total · 34/month","Shared By: Brendan N on Oct 22, 2019"
Fryeing,https://www.mountainproject.com/route/106516434/fryeing,3.4,5.13c,1,75.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.4 from 5
    votes","Page Views: 2,440 total · 14/month","Shared By: J Farley on Aug 13, 2009"
Linus,https://www.mountainproject.com/route/106516973/linus,3.7,5.13c,1,40.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.7 from 3
    votes","Page Views: 3,264 total · 19/month","Shared By: J Farley on Aug 14, 2009"
Demon-Wizard-Bat,https://www.mountainproject.com/route/118029637/demon-wizard-bat,4.0,5.13c,1,50.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 4 from 1
    vote","Page Views: 1,057 total · 22/month","Shared By: Paul Robertson on Nov 11, 2019"
Vegans from Hell,https://www.mountainproject.com/route/118843843/vegans-from-hell,3.0,5.13c,1,40.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 6
    votes",Page Views: 948 total · 22/month,"Shared By: Paul Robertson on May 8, 2020"
Side-Show Bob,https://www.mountainproject.com/route/109087157/side-show-bob,2.5,5.13c/d,1,30.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2.5 from 2
    votes","Page Views: 1,177 total · 10/month","Shared By: Jeremy Noring on Jun 10, 2014"
Cannibals,https://www.mountainproject.com/route/109087134/cannibals,3.6,5.13d,1,50.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.6 from 5
    votes","Page Views: 2,150 total · 19/month","Shared By: Jeremy Noring on Jun 10, 2014"
Lying,https://www.mountainproject.com/route/119847157/lying,4.0,5.13d,1,,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 4 from 1
    vote",Page Views: 797 total · 22/month,"Shared By: Rollin on Nov 1, 2020"
Cannibals Direct,https://www.mountainproject.com/route/109086998/cannibals-direct,3.0,5.14b,1,50.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 2
    votes","Page Views: 2,754 total · 24/month","Shared By: Jeremy Noring on Jun 10, 2014"
I Scream,https://www.mountainproject.com/route/109087146/i-scream,2.0,5.14c,1,50.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2 from 3
    votes","Page Views: 3,335 total · 29/month","Shared By: Jeremy Noring on Jun 10, 2014"
In Hell I'll Be in Good Company,https://www.mountainproject.com/route/123944838/in-hell-ill-be-in-good-company,4.0,5.14d,1,50.0,40.4465,-111.69402,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 4 from 1
    vote",Page Views: 230 total · 33/month,"Shared By: sava pop pop pop on Mar 31, 2023"
Soul Fission,https://www.mountainproject.com/route/109092617/soul-fission,3.0,5.13c,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 3
    votes",Page Views: 892 total · 8/month,"Shared By: Jeremy Noring on Jun 11, 2014"
San Miguel,https://www.mountainproject.com/route/110329209/san-miguel,2.9,5.13c,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2.9 from 8
    votes","Page Views: 1,400 total · 13/month","Shared By: Tyler on Apr 13, 2015 · Updates"
Ghost White,https://www.mountainproject.com/route/123129966/ghost-white,3.0,5.13c,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 264 total · 20/month,"Shared By: Todd H on Sep 26, 2022"
Satanism and Sports,https://www.mountainproject.com/route/109092586/satanism-and-sports,3.0,5.13d,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 2
    votes","Page Views: 1,031 total · 9/month","Shared By: Jeremy Noring on Jun 11, 2014"
Power Junkie,https://www.mountainproject.com/route/109092592/power-junkie,3.0,5.13d,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 1
    vote","Page Views: 1,367 total · 12/month","Shared By: Jeremy Noring on Jun 11, 2014"
Cop Killer,https://www.mountainproject.com/route/109092598/cop-killer,2.5,5.13d,1,,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2.6 from 5
    votes","Page Views: 1,417 total · 12/month","Shared By: Jeremy Noring on Jun 11, 2014"
Body Count,https://www.mountainproject.com/route/109092604/body-count,3.8,5.13d,1,,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.8 from 9
    votes","Page Views: 2,840 total · 25/month","Shared By: Jeremy Noring on Jun 11, 2014 · Updates"
Dead Souls,https://www.mountainproject.com/route/106772078/dead-souls,3.6,5.14a,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.6 from 15
    votes","Page Views: 6,422 total · 39/month","Shared By: Austin Lee on May 22, 2010 · Updates"
The Big G,https://www.mountainproject.com/route/109096302/the-big-g,2.5,5.14a,1,40.0,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2.5 from 2
    votes","Page Views: 1,855 total · 16/month","Shared By: Jeremy Noring on Jun 12, 2014"
The Optimist,https://www.mountainproject.com/route/122171568/the-optimist,3.0,5.14a,1,,40.44645,-111.69372,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 437 total · 23/month,"Shared By: Rollin on Apr 2, 2022 · Updates"
High Water,https://www.mountainproject.com/route/106518761/high-water,3.4,5.13c,1,45.0,40.44645,-111.69416,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.4 from 12
    votes","Page Views: 2,316 total · 13/month","Shared By: J Farley on Aug 16, 2009"
Brimstone,https://www.mountainproject.com/route/121314148/brimstone,2.0,5.13d,1,,40.44645,-111.69416,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 354 total · 14/month,"Shared By: Rollin on Sep 16, 2021"
Silver Lining,https://www.mountainproject.com/route/119862217/silver-lining,4.0,5.14a,1,,40.44645,-111.69416,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 4 from 2
    votes",Page Views: 654 total · 18/month,"Shared By: Rollin on Nov 4, 2020 · Updates"
Higher Water,https://www.mountainproject.com/route/121302878/higher-water,3.3,5.14a/b,1,,40.44645,-111.69416,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Hell Area,False,False,False,False,False,False,"Avg: 3.3 from 3
    votes",Page Views: 463 total · 18/month,"Shared By: Rollin on Sep 13, 2021"
Villains,https://www.mountainproject.com/route/121644167/villains,2.0,5.13c,1,45.0,40.4469,-111.68576,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,s Cave,False,False,False,False,False,False,"Avg: 2 from 4
    votes",Page Views: 525 total · 22/month,"Shared By: Aaron Child on Nov 15, 2021"
Stable Boy,https://www.mountainproject.com/route/106670181/stable-boy,2.0,5.13c,1,50.0,40.2665,-111.624,False,False,Utah,Wasatch Range,Southern Wasatch,Rock Canyon,The Jobsite,False,False,False,False,False,False,"Avg: 2 from 1
    vote","Page Views: 1,619 total · 10/month","Shared By: Andy Knight on Feb 8, 2010"
Prestidigitator,https://www.mountainproject.com/route/109407694/prestidigitator,2.0,5.13c/d,1,40.0,40.1716,-111.471,False,False,Utah,Wasatch Range,Southern Wasatch,Hobble Creek Canyon,Drone Wall,False,False,False,False,False,False,"Avg: 2 from 2
    votes","Page Views: 2,028 total · 18/month","Shared By: Jordan Watt on Aug 29, 2014"
Phobos,https://www.mountainproject.com/route/114272936/phobos,2.0,5.13d,1,50.0,40.27487,-111.62792,False,False,Utah,Wasatch Range,Southern Wasatch,The Hinterlands,facing Wall,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 856 total · 13/month,"Shared By: zeb engberg on Apr 18, 2018"
The Green Corner,https://www.mountainproject.com/route/118836238/the-green-corner,3.0,5.13d,1,75.0,40.5741,-111.7543,False,False,Utah,Wasatch Range,Central Wasatch,Little Cottonwood Canyon,Green Adjective Gully,False,False,False,False,False,False,"Avg: 3 from 1
    vote","Page Views: 2,068 total · 49/month","Shared By: Brent Barghahn on May 6, 2020"
Iridescence,https://www.mountainproject.com/route/118977596/iridescence,4.0,5.14a,1,50.0,40.57426,-111.76793,False,False,Utah,Wasatch Range,Central Wasatch,Little Cottonwood Canyon,Dragon Arch,False,False,False,False,False,False,"Avg: 4 from 3
    votes","Page Views: 2,916 total · 70/month","Shared By: Brent Barghahn on Jun 3, 2020"
The Super Ramp,https://www.mountainproject.com/route/118990825/the-super-ramp,2.0,5.13c,1,90.0,40.57387,-111.75163,False,False,Utah,Wasatch Range,Central Wasatch,Little Cottonwood Canyon,Gate Buttress,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 867 total · 21/month,"Shared By: Brent Barghahn on Jun 5, 2020"
Crown Jewel,https://www.mountainproject.com/route/118050485/crown-jewel,4.0,5.13c/d,1,,40.62647,-111.74584,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Storm Mountain Picnic Area,False,False,False,False,False,False,"Avg: 4 from 1
    vote","Page Views: 1,118 total · 23/month","Shared By: Rollin on Nov 16, 2019"
Dog Eat Dog,https://www.mountainproject.com/route/124618826/dog-eat-dog,4.0,5.13d,1,,40.63387,-111.72201,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 4 from 2
    votes",Page Views: 276 total · 83/month,"Shared By: Christian Hall on Jul 20, 2023"
Killshot,https://www.mountainproject.com/route/117968785/killshot,3.0,5.13c,1,,40.63458,-111.70453,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Hoss Garden,False,False,False,False,False,False,"Avg: 3 from 1
    vote","Page Views: 1,001 total · 21/month","Shared By: Rollin on Oct 30, 2019"
CEO,https://www.mountainproject.com/route/119070393/ceo,4.0,5.13c,1,,40.6353,-111.7039,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Boss Garden,False,False,False,False,False,False,"Avg: 4 from 1
    vote",Page Views: 824 total · 20/month,"Shared By: Rollin on Jun 19, 2020"
Interrobang,https://www.mountainproject.com/route/117391550/interrobang,4.0,5.14a,1,110.0,40.52459,-111.75637,False,False,Utah,Wasatch Range,Central Wasatch,Lone Peak Cirque,Question Mark Wall,False,True,False,False,False,False,"Avg: 4 from 2
    votes","Page Views: 3,003 total · 58/month","Shared By: Brent Barghahn on Jul 22, 2019"
Flying High,https://www.mountainproject.com/route/121361776/flying-high,3.0,5.13d,1,80.0,41.79951,-111.63754,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 307 total · 12/month,"Shared By: Matt Cupal on Sep 25, 2021"
The Rad Race,https://www.mountainproject.com/route/124649842/the-rad-race,3.0,5.13c,1,90.0,41.80592,-111.63168,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 83 total · 26/month,"Shared By: Matt Cupal on Jul 24, 2023"
The Finish Line,https://www.mountainproject.com/route/124649877/the-finish-line,4.0,5.14a,1,100.0,41.80592,-111.63168,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 1
    vote",Page Views: 181 total · 57/month,"Shared By: Matt Cupal on Jul 24, 2023"
Supernova,https://www.mountainproject.com/route/109095490/supernova,-1.0,5.14-,1,45.0,41.745,-111.757,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 0 from 0
    votes",Page Views: 928 total · 8/month,"Shared By: Brian Hestetune on Jun 12, 2014"
Golden Tide,https://www.mountainproject.com/route/107819812/golden-tide,3.0,5.13d,1,40.0,41.7426,-111.7747,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 3
    votes",Page Views: 833 total · 6/month,"Shared By: BRSchneid on Sep 30, 2012 · Updates"
Trench Warfare,https://www.mountainproject.com/route/108292695/trench-warfare,3.0,5.13c,1,60.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 2
    votes","Page Views: 2,588 total · 21/month","Shared By: Taylor Roy on Aug 17, 2013"
Shanghai,https://www.mountainproject.com/route/118642780/shanghai,2.6,5.13c,1,50.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 2.6 from 9
    votes",Page Views: 918 total · 21/month,"Shared By: Miles Perry on Mar 11, 2020"
The Big Brawl,https://www.mountainproject.com/route/118647860/the-big-brawl,4.0,5.13c,1,60.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 2
    votes",Page Views: 861 total · 20/month,"Shared By: Jon Decker on Mar 13, 2020"
Super Finish,https://www.mountainproject.com/route/122872178/super-finish,2.0,5.13c,1,,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 99 total · 7/month,"Shared By: Rollin on Aug 10, 2022"
Chinese Connection,https://www.mountainproject.com/route/113322756/chinese-connection,3.0,5.13c/d,1,80.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 2
    votes",Page Views: 891 total · 12/month,"Shared By: Brian Hestetune on Jul 13, 2017"
Tweak,https://www.mountainproject.com/route/108222223/tweak,4.0,5.13d,1,60.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 4
    votes","Page Views: 2,917 total · 23/month","Shared By: Brian Hestetune on Jul 1, 2013 · Updates"
Slugfest,https://www.mountainproject.com/route/109361319/slugfest,4.0,5.13d,1,60.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 1
    vote","Page Views: 1,578 total · 14/month","Shared By: Brian Hestetune on Aug 16, 2014"
Blackout,https://www.mountainproject.com/route/110033753/blackout,4.0,5.13d,1,80.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 1
    vote","Page Views: 1,484 total · 14/month","Shared By: Ted Baker on Feb 4, 2015"
lost for words,https://www.mountainproject.com/route/118647832/lost-for-words,3.0,5.13d,1,60.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 484 total · 11/month,"Shared By: Jon Decker on Mar 13, 2020"
Fight Club,https://www.mountainproject.com/route/121396011/fight-club,4.0,5.13d,1,60.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 1
    vote",Page Views: 396 total · 16/month,"Shared By: Maggie Odette on Oct 2, 2021"
Still Too Weak,https://www.mountainproject.com/route/120577448/still-too-weak,3.5,5.14a,1,70.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3.5 from 2
    votes",Page Views: 788 total · 26/month,"Shared By: Miles Perry on Apr 19, 2021 · Updates"
Super Weak,https://www.mountainproject.com/route/122872147/super-weak,3.0,5.14a,1,,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 206 total · 14/month,"Shared By: Rollin on Aug 10, 2022"
Super Tweak,https://www.mountainproject.com/route/110033749/super-tweak,4.0,5.14b,1,80.0,41.78535,-111.64221,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Logan Canyon,False,False,False,False,False,False,"Avg: 4 from 4
    votes","Page Views: 5,109 total · 48/month","Shared By: Ted Baker on Feb 4, 2015"
Revenge of Spackle Monkey,https://www.mountainproject.com/route/107815243/revenge-of-spackle-monkey,3.3,5.13c,1,,41.66711,-111.62642,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Blacksmith Fork Canyon,False,False,False,False,False,False,"Avg: 3.3 from 7
    votes","Page Views: 1,528 total · 11/month","Shared By: SM Ryan on Sep 26, 2012"
Sandwich,https://www.mountainproject.com/route/119408679/sandwich,3.0,5.13d,1,110.0,41.66711,-111.62642,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Blacksmith Fork Canyon,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 579 total · 15/month,"Shared By: Matt Cupal on Aug 18, 2020"
Green Bawse,https://www.mountainproject.com/route/107823258/green-bawse,4.0,5.13c,1,,41.63133,-111.70745,False,False,Utah,Wasatch Range,Northern Wasatch,Cache Valley,Blacksmith Fork Canyon,False,False,False,False,False,False,"Avg: 4 from 1
    vote",Page Views: 944 total · 7/month,"Shared By: SM Ryan on Oct 2, 2012"
Random RX,https://www.mountainproject.com/route/107859221/random-rx,3.0,5.13c,1,,41.00191,-111.40608,False,False,Utah,Wasatch Range,Wasatch Back,Echo Canyon,Mill Canyon,False,False,False,False,False,False,"Avg: 3 from 2
    votes","Page Views: 1,197 total · 9/month","Shared By: SM Ryan on Oct 25, 2012 · Updates"
Infinite Choss (Link Up),https://www.mountainproject.com/route/111885721/infinite-choss-link-up,3.0,5.13c,1,60.0,41.00191,-111.40608,False,False,Utah,Wasatch Range,Wasatch Back,Echo Canyon,Mill Canyon,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 678 total · 8/month,"Shared By: Jeremy Steck on May 28, 2016"
Safe Sport (link-up),https://www.mountainproject.com/route/114939800/safe-sport-link-up,3.0,5.13c,1,70.0,40.4916,-112.59539,False,False,Utah,West Desert,Stansbury Mountains,South Willow Canyon,Narrows,False,False,False,False,False,False,"Avg: 3 from 3
    votes",Page Views: 867 total · 14/month,"Shared By: David LeBaron on Aug 8, 2018"
The Big Smile,https://www.mountainproject.com/route/105742196/the-big-smile,4.0,5.14a,1,,40.49128,-112.59538,False,False,Utah,West Desert,Stansbury Mountains,South Willow Canyon,Narrows,False,False,False,False,False,False,"Avg: 4 from 1
    vote","Page Views: 4,500 total · 21/month","Shared By: D Argyle on Dec 31, 2005"
All Around Routine,https://www.mountainproject.com/route/106121105/all-around-routine,3.7,5.14a,3,300.0,38.9922,-113.3894,False,False,Utah,West Desert,Ibex,Shadow Buttress,,False,False,False,False,False,False,"Avg: 3.7 from 3
    votes","Page Views: 5,193 total · 27/month","Shared By: James Garrett on Mar 13, 2008"
Blood Meridian,https://www.mountainproject.com/route/107532557/blood-meridian,3.8,5.13c,1,90.0,38.98931,-113.39021,False,False,Utah,West Desert,Ibex,Snakeskin Buttress,,False,False,False,False,False,False,"Avg: 3.8 from 5
    votes","Page Views: 2,459 total · 17/month","Shared By: James Garrett on Mar 29, 2012"
Cobble Killer,https://www.mountainproject.com/route/115192317/cobble-killer,3.7,5.13c,1,,39.55582,-111.67547,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,Box Canyon,False,False,False,False,False,False,"Avg: 3.7 from 3
    votes","Page Views: 1,050 total · 17/month","Shared By: Anja on Sep 11, 2018"
Body Dump,https://www.mountainproject.com/route/122796349/body-dump,3.0,5.13c,1,,39.55582,-111.67547,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,Box Canyon,False,False,False,False,False,False,"Avg: 3 from 2
    votes",Page Views: 218 total · 14/month,"Shared By: Coli Caitlin on Jul 25, 2022"
The Only Religion,https://www.mountainproject.com/route/110879286/the-only-religion,2.0,5.13c,1,60.0,39.55627,-111.67596,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,Box Canyon,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 802 total · 8/month,"Shared By: zeb engberg on Aug 12, 2015"
Rupture,https://www.mountainproject.com/route/110946559/rupture,2.0,5.13c,1,40.0,39.55684,-111.67599,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,Box Canyon,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 603 total · 6/month,"Shared By: zeb engberg on Aug 27, 2015"
Freedom,https://www.mountainproject.com/route/110946562/freedom,2.0,5.13d,1,50.0,39.55684,-111.67599,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,Box Canyon,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 717 total · 7/month,"Shared By: zeb engberg on Aug 27, 2015 · Updates"
Hammerhead,https://www.mountainproject.com/route/109063554/hammerhead,3.8,5.13c,1,60.0,39.56843,-111.688,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,The Compound,False,False,False,False,False,False,"Avg: 3.8 from 8
    votes","Page Views: 1,522 total · 13/month","Shared By: Luke Bertelsen on Jun 4, 2014"
TSS,https://www.mountainproject.com/route/114576154/tss,3.0,5.13c,1,60.0,39.56843,-111.688,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,The Compound,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 821 total · 13/month,"Shared By: Lee Robinson on Jul 9, 2018"
Fat Lady,https://www.mountainproject.com/route/124794181/fat-lady,3.0,5.13c,1,,39.56843,-111.688,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,The Compound,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 99 total · 44/month,"Shared By: Coli Caitlin on Aug 20, 2023"
Cyanide Suicide,https://www.mountainproject.com/route/110744072/cyanide-suicide,-1.0,5.13+,1,,39.56843,-111.688,False,False,Utah,Central Utah,Maple Canyon,Maple Canyon Road,The Compound,False,False,False,False,False,False,"Avg: 0 from 0
    votes",Page Views: 977 total · 10/month,"Shared By: SM Ryan on Jul 13, 2015"
