Area Latitude,Area Longitude,OBJECTID,STATION_NA,STN_ID_,SECONDARY_,STN_AUTHOR,NETWORK_,LOCATION_O,TYPE_OF_OB,ACTIVE_INA,PERIOD_OF_,LATITUDE,LONGITUDE,COUNTY,CLIMATE_DI,WATER_BASI,HUC,TEMP_,PRECIPITAT,SNOW_FALL,SNW_GND_DP,DEW_POINT,REL_HUM,WIND_SPEED,WIND_GUST,SOLAR_RAD,SOIL_MOIST,SOIL_TEMP,FUEL_TEMP,FUEL_MOIST,PRESSURE,SL_PRESSUR,ALTIMETER,WEATHER_CO,VISIBILITY,UVB,ELEVATION
-12473120.7529,4450108.6998,21,BUCKSKIN MOUNTAIN,GSE10, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.0789,-112.0472,KANE,4,COLORADO WEST, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , ,PR,SLP,A, , , ,5758.696000
-12473120.7529,4450108.6998,22,BUCKSKIN MOUNTAIN,42BUCM00, ,ESTR,ESTR,Utah Climate Center,HOURLY,INACTIVE,1999-2003,37.0789,-112.0472,KANE,4,COLORADO WEST, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,5758.696000
-12648209.9071,4450261.7129,23,SAINT GEORGE,QSG,170026,Utah Dept. of Air Quality,AQ,http://www.airmonitoring.utah.gov/County.htm,HOURLY,INACTIVE, ,37.08,-113.62,WASHINGTON,2,LOWER COLORADO, , , , , , , , , , , , , , , , , , , , ,2640.400000
-12645983.4712,4450261.6976,24,St George: St George Municipal Airpo,KSGU,99999,National Weather Service,ASOS,http://www.faa.gov/asos/,HOURLY,ACTIVE,1997-PRESENT,37.08,-113.6,WASHINGTON,2,LOWER COLORADO, ,T, , , ,DP,RH,WS, , , , , , ,PR,SLP,A,WC,VIS, ,2939.208000
-12430758.1726,4450727.4197,25,BIG WATER,42068807, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1986-PRESENT,37.083333,-111.666667,KANE,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4100.000000
-12430758.1726,4450727.4197,26,GLEN CANYON CITY,42323207, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1962-1974,37.083333,-111.666667,KANE,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4160.000000
-12191240.9912,4450948.2846,27,SAN JUAN RIVER,BFFU1,1790E03E,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0849,-109.5151,SAN JUAN,7,SOUTHEAST COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12642476.7038,4452099.5506,28,ST GEORGE,42STGD00, ,UCC1,UCC1,Utah Climate Center,HOURLY,INACTIVE,1989-1990,37.09317,-113.5685,WASHINGTON,2,LOWER COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,2780.000000
-12531632.7884,4452369.4932,29,EASTFORK/VIRGIN,ESTU1,347502BA,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0951,-112.5728,KANE,4,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12642643.7916,4453052.7666,30,St. George,CMP21,9999999,Community Environmental Monitoring Program,CEMP,http://www.cemp.dri.edu/,HOURLY,ACTIVE,2002-PRESENT,37.1,-113.57,WASHINGTON,2,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, , , , ,PR,SLP,A, , , ,2597.432000
-12456733.7089,4453053.316,31,PARIA RANGER STATION,42664004, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1998-PRESENT,37.1,-111.9,KANE,4, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4400.000000
-12441890.5687,4453053.3809,32,CHURCH WELLS,42141807, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1975-1981,37.1,-111.766667,KANE,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4520.000000
-12604871.9718,4453332.3011,33,VIRGIN RIVER/HURR 6W,HURU1,1669BA8,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.102,-113.2307,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12602768.0059,4454839.7777,34,VIRGIN RIVER/HURRICANE,HUCU1,DD5C847A,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.1128,-113.2118,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12598415.279,4455942.6607,35,VIRGIN RIVER/LAVERKIN 1E,VALU1, ,DD791736,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.1207,-113.1727,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12590856.477,4456054.3008,36,VIRGIN RIVER 1E,VIRU1, ,172E33F6,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.1215,-113.1048,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12532879.5684,4456333.7369,37,NORTH FORK VIRGIN,NFVU1, ,17105408,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.1235,-112.584,KANE,4,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12421110.2585,4457241.4793,38,ZION NATIONAL PARK,429717, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1978-PRESENT,37.13,-111.58,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , ,4048.832000
-12380588.702,4458121.8242,39,GRAND BENCH,GSE04, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.1363,-111.216,KANE,7,COLORADO WEST, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , , , , , , , ,4718.936000
-12380588.702,4458121.8242,40,GRAND BENCH,42GRND00, ,ESTR,ESTR,Utah Climate Center,HOURLY,INACTIVE,1998-2003,37.1363,-111.216,KANE,7,COLORADO WEST, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,4718.936000
-12692368.2467,4460032.847,41,LYTLE RANCH,42525202, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1988-PRESENT,37.15,-114.016667,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,2770.000000
-12230378.058,4460036.5763,42,MEXICAN HAT,42558207, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1911-PRESENT,37.15,-109.866667,SAN JUAN,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4130.000000
-12229190.601,4460036.6218,43,BLUFF 20WSW (NWS),42BLUF00, ,NWS1,NWS1, ,HOURLY,INACTIVE,1992-1998,37.15,-109.856,SAN JUAN,7,SOUTHEAST COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,4048.000000
-12685380.8247,4460116.737,44,BADGER SPRING,BADU1,325431F8,Bureau of Land Management,RAWS/HADS,http://www.met.utah.edu/jhorel/html/mesonet/,HOURLY,ACTIVE,1997-PRESENT,37.1506,-113.9539,WASHINGTON,2,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, , ,FT, , , , , , , ,3989.136000
-12603814.4709,4461472.5324,45,LEEDS CREEK/VIRGIN,LEEU1,171156F2,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.1603,-113.2212,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12630398.125,4462198.7578,46,SANTA CLARA RIVER/GUNLOCK,SCGU1, ,1718A02A,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.1655,-113.46,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12684189.7256,4462617.0236,47,BADGER SPRING,42BADG00, , ,RAWS, ,HOURLY,INACTIVE,1991-1994,37.1685,-113.9432,WASHINGTON,2,LOWER COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,3990.000000
-12610360.1972,4464224.5905,48,HURRICANE,42415N02, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1911-1941,37.18,-113.28,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,3280.000000
-12489229.5654,4465691.6736,49,NEPHI,GSE12, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.1905,-112.1919,KANE,4,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , , , , , , , ,6398.296000
-12470860.9433,4465817.5724,50,TELEGRAPH FLAT,TFRU1,325DE1CC,Bureau of Land Management,RAWS/HADS,http://www.met.utah.edu/jhorel/html/mesonet/,HOURLY,ACTIVE,1997-PRESENT,37.1914,-112.0269,KANE,4,COLORADO WEST, ,T,P, , ,DP,RH,WS,WG,SR, , ,FT, , , , , , , ,5458.576000
-12608875.9537,4467019.3329,51,LA VERKIN,42496802, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1946-PRESENT,37.2,-113.266667,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,3220.000000
-12599227.9999,4467019.38,52,VIRGIN,42914U02, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1902,37.2,-113.18,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,3100.000000
-12501263.6853,4467019.2704,53,TELEGRAPH FLAT,42TELE00, ,RAWS,RAWS,Utah Climate Center,HOURLY,INACTIVE,1987-1994,37.2,-112.3,KANE,4,LOWER COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,5460.000000
-12408141.1626,4467285.589,54,SMOKY MOUNTAIN,GSE11, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.2019,-111.4635,KANE,4,COLORADO WEST, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , , , , , , , ,5598.632000
-12508087.9421,4467326.8238,55,EAST FORK/VIRGIN,EFFU1,178D443E,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.2022,-112.3613,KANE,4,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12576718.4877,4467676.1892,56,ZION CANYON,ZIOU1,FA63B4B6,Bureau of Land Management,RAWS/HADS,http://www.met.utah.edu/jhorel/html/mesonet/,HOURLY,ACTIVE,2002-PRESENT,37.2047,-112.9778,WASHINGTON,2,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, , ,FT,FM, , , , , , ,3997.992000
-12620234.4802,4467834.1233,57,WHITE REEF,42WHIT00, ,RAWS,RAWS,Utah Climate Center,HOURLY,INACTIVE,1987-1994,37.20583,-113.3687,WASHINGTON,2,LOWER COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,3440.000000
-12533547.6952,4468417.2434,58,VEYO POWERHOUSE,429136, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1974-PRESENT,37.21,-112.59,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , ,4598.888000
-12457023.3274,4469088.085,59,BRIGHAM PLAINS,GSE09, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.2148,-111.9026,KANE,7,SOUTHEAST COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , , , , , , , ,5638.648000
-12457023.3274,4469088.085,60,BRIGHAM PLAINS,42BRIM00, ,ESTR,ESTR,Utah Climate Center,HOURLY,INACTIVE,1999-2003,37.2148,-111.9026,KANE,7,SOUTHEAST COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,5638.648000
-12621247.542,4469269.5708,61,WHITE REEF,WRRU1,326FE248,Bureau of Land Management,RAWS/HADS,http://www.met.utah.edu/jhorel/html/mesonet/,HOURLY,ACTIVE,1997-PRESENT,37.2161,-113.3778,WASHINGTON,2,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, , ,FT,FM, , , , , , ,3439.080000
-12577334.4902,4469348.9127,62,ZION NATIONAL PARK,42971702, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1928-PRESENT,37.216667,-112.983333,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4050.000000
-12610994.6833,4471212.7716,63,SANTA CLARA RIVER/LEEDS 12NW,STCU1, ,DD3DC7B8,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.23,-113.2857,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12565174.39,4471758.1877,64,ZION NATIONAL PARK,ZNP, ,SLC WSFO/NWS Western Region,SNOWNET,http://www.wcc.nrcs.usda.gov/snow/,HOURLY,ACTIVE,1997-PRESENT,37.2339,-112.8741,KANE,4,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG, , , , , , , , , , , ,5739.672000
-12462300.2331,4474009.4535,65,PAHREAH,42658N04, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1895-1900,37.25,-111.95,KANE,4, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4000.000000
-12163585.5892,4474011.6515,66,ANETH PLANT,42015707, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1896-PRESENT,37.25,-109.266667,SAN JUAN,7,SE COLORADO RIVER, ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4620.000000
-12500150.527,4475407.7202,67,ALTON,420086, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1971-PRESENT,37.26,-112.29,KANE,4,COLORADO WEST, , ,P, , , , , , , , , , , , , , , , , ,7038.224000
-12538371.821,4476340.7176,68,ORDERVILLE,42653404, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1928-PRESENT,37.266667,-112.633333,KANE,4, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,5460.000000
-12504603.6565,4478205.5923,69,RANCH,42715N04, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1908-1914,37.28,-112.33,KANE,4, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,6700.000000
-12693240.5697,4478372.5072,70,BEAVER DAM WASH,BDWU1,1668B752,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.2812,-114.0245,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12660826.7562,4478671.5184,71,GUNLOCK POWERHOUSE,42350602, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1930-PRESENT,37.283333,-113.733333,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4110.000000
-12195126.7545,4478674.5867,72,BLUFF,42078807, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1928-PRESENT,37.283333,-109.55,SAN JUAN,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4320.000000
-12469146.64,4478933.3208,73,PARIA RIVER/CANNONVILLE,PCVU1, ,DD0D47DC,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.2852,-112.0115,KANE,4,COLORADO WEST, , ,P, , , , , , , , , , , , , , , , , , 
-12372106.5438,4480585.3864,74,LAKE,GSE03, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.297,-111.1398,KANE,7,WEST COLORADO, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , , , , , , , ,7438.056000
-12345411.3744,4483338.1069,75,ESCALANTE RIVER MOUTH,42259707, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1951-1953,37.316667,-110.9,KANE,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4000.000000
-12534661.1582,4483803.4422,76,GLENDALE,42324N04, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1894,37.32,-112.6,KANE,0, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,5750.000000
-12512396.3676,4483803.3214,77,DUCK CREEK VILLAGE,422256, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1978-PRESENT,37.32,-112.4,KANE,4,COLORADO WEST, , ,P, , , , , , , , , , , , , , , , , ,8377.776000
-12488294.5042,4484251.1312,78,DEER SPRINGS POINT,GSE14, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.3232,-112.1835,KANE,4,COLORADO WEST, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , ,PR,SLP,A, , , ,6958.192000
-12488294.5042,4484251.1312,79,DEER SPRINGS POINT,42DEER00, ,ESTR,ESTR,Utah Climate Center,HOURLY,INACTIVE,1999-2003,37.3232,-112.1835,KANE,4,COLORADO WEST, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,6958.192000
-12627080.9158,4485636.9707,80,ENTERPRISE RAWS,ENTU1,328573F2,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.3331,-113.4302,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12581416.6276,4486602.9667,81,CEDAR CITY STEAM PLA,421273, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1972-1984,37.34,-113.02,IRON,4,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , ,6002.400000
-12432064.7102,4487121.9421,82,FOUR MILE BENCH,GSE15, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2002-PRESENT,37.3437,-111.6784,KANE,4,COLORADO WEST, ,T,P, , ,DP,RH,WS,WG,SR, ,ST, , , , , , , , ,6158.528000
-12653405.2935,4488003.0444,83,VEYO POWERHOUSE,42913602, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1957-PRESENT,37.35,-113.666667,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4600.000000
-12653397.8818,4488311.1605,84,VEYO POWER HOUSE,VEYU1, ,Colorado Basin River Forecast Center,CBRFC/HADS,http://www.met.utah.edu/jhorel/html/mesonet/,HOURLY,ACTIVE,2004-PRESENT,37.3522,-113.6666,WASHINGTON,2,LOWER COLORADO, ,T,P, , ,DP,RH,WS, , , , , , , , , , , , ,4598.888000
-12166182.9498,4490806.9138,85,BLANDING,420738, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1984-PRESENT,37.37,-109.29,SAN JUAN,7,SOUTHEAST COLORADO, , ,P, , , , , , , , , , , , , , , , , ,6038.480000
-12501909.623,4491112.6438,86,MAMMOTH CREEK,MACU1,DD2DC026,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.3722,-112.3058,KANE,4,COLORADO WEST, , ,P, , , , , , , , , , , , , , , , , , 
